No,Formatted_Name,Name,Pokedex_Entry,Generation,Height,Weight,Type1,Type2,Ability1,Ability2,Ability_Hidden,Color,Gender_Male,Gender_Female,Gender_Unknown,Egg_Steps,Egg_Group1,Egg_Group2,Get_Rate,Base_Experience,Lvl100_Cost,Category,HP,Attack,Defense,SP_Attack,SP_Defense,Speed,Total
84,Doduo,doduo,A bird that makes up for its poor flying with its fast foot speed. Leaves giant footprints.,1,1.4,39.2,Normal,Flying,Run Away,Early Bird,Tangled Feet,Brown,50,50,0,20,Flying,,190,62,1000000,Ordinary,35,85,45,35,35,75,310
85,Dodrio,dodrio,"Uses its three brains to execute complex plans. While two heads sleep, one head stays awake.",1,1.8,85.2,Normal,Flying,Run Away,Early Bird,Tangled Feet,Brown,50,50,0,20,Flying,,45,165,1000000,Ordinary,60,110,70,60,60,110,470
86,Seel,seel,The protruding horn on its head is very hard. It is used for bashing through thick ice.,1,1.1,90,Water,,Thick Fat,Hydration,Ice Body,White,50,50,0,20,Water1,Ground,190,65,1000000,Ordinary,65,45,55,45,70,45,325
87,Dewgong,dewgong,Stores thermal energy in its body. Swims at a steady 8 knots even in intensely cold waters.,1,1.7,120,Water,Ice,Thick Fat,Hydration,Ice Body,White,50,50,0,20,Water1,Ground,75,166,1000000,Ordinary,90,70,80,70,95,70,475
88,Grimer,grimer,Appears in filthy areas. Thrives by sucking up polluted sludge that is pumped out of factories.,1,0.9,30,Poison,,Stench,Sticky Hold,Poison Touch,Purple,50,50,0,20,Amorphous,,190,65,1000000,Ordinary,80,80,50,40,50,25,325
89,Muk,muk,"Thickly covered with a filthy, vile sludge. It is so toxic, even its footprints contain poison.",1,1.2,30,Poison,,Stench,Sticky Hold,Poison Touch,Purple,50,50,0,20,Amorphous,,75,175,1000000,Ordinary,105,105,75,65,100,50,500
90,Shellder,shellder,Its hard shell repels any kind of attack. It is vulnerable only when its shell is open.,1,0.3,4,Water,,Shell Armor,Skill Link,Overcoat,Purple,50,50,0,20,Water3,,190,61,1250000,Ordinary,30,65,100,45,25,40,305
91,Cloyster,cloyster,"When attacked, it launches its horns in quick volleys. Its innards have never been seen.",1,1.5,132.5,Water,Ice,Shell Armor,Skill Link,Overcoat,Purple,50,50,0,20,Water3,,60,184,1250000,Ordinary,50,95,180,85,45,70,525
92,Gastly,gastly,"Almost invisible, this gaseous POKéMON cloaks the target and puts it to sleep without notice.",1,1.3,0.1,Ghost,Poison,Levitate,,,Purple,50,50,0,20,Amorphous,,190,62,1059860,Ordinary,30,35,30,100,35,80,310
93,Haunter,haunter,"Because of its ability to slip through block walls, it is said to be from another dimension.",1,1.6,0.1,Ghost,Poison,Levitate,,,Purple,50,50,0,20,Amorphous,,90,142,1059860,Ordinary,45,50,45,115,55,95,405
94,Gengar,gengar,"Under a full moon, this POKéMON likes to mimic the shadows of people and laugh at their fright.",1,1.5,40.5,Ghost,Poison,Cursed Body,,,Purple,50,50,0,20,Amorphous,,45,250,1059860,Ordinary,60,65,60,130,75,110,500
95,Onix,onix,"As it grows, the stone portions of its body harden to become similar to a diamond, but colored black.",1,8.8,210,Rock,Ground,Rock Head,Sturdy,Weak Armor,Gray,50,50,0,25,Mineral,,45,77,1000000,Ordinary,35,45,160,30,45,70,385
96,Drowzee,drowzee,Puts enemies to sleep then eats their dreams. Occasionally gets sick from eating bad dreams.,1,1,32.4,Psychic,,Insomnia,Forewarn,Inner Focus,Yellow,50,50,0,20,Human-Like,,190,66,1000000,Ordinary,60,48,45,43,90,42,328
97,Hypno,hypno,"When it locks eyes with an enemy, it will use a mix of PSI moves such as HYPNOSIS and CONFUSION.",1,1.6,75.6,Psychic,,Insomnia,Forewarn,Inner Focus,Yellow,50,50,0,20,Human-Like,,75,169,1000000,Ordinary,85,73,70,73,115,67,483
98,Krabby,krabby,"Its pincers are not only powerful weapons, they are used for balance when walking sideways.",1,0.4,6.5,Water,,Hyper Cutter,Shell Armor,Sheer Force,Red,50,50,0,20,Water3,,225,65,1000000,Ordinary,30,105,90,25,25,50,325
99,Kingler,kingler,"The large pincer has 10000 hp of crushing power. However, its huge size makes it unwieldy to use.",1,1.3,60,Water,,Hyper Cutter,Shell Armor,Sheer Force,Red,50,50,0,20,Water3,,60,166,1000000,Ordinary,55,130,115,50,50,75,475
100,Voltorb,voltorb,"Usually found in power plants. Easily mistaken for a POKé BALL, they have zapped many people.",1,0.5,10.4,Electric,,Soundproof,Static,Aftermath,Red,0,0,100,20,Mineral,,190,66,1000000,Ordinary,40,30,50,55,55,100,330
101,Electrode,electrode,It stores electric energy under very high pressure. It often explodes with little or no provocation.,1,1.2,66.6,Electric,,Soundproof,Static,Aftermath,Red,0,0,100,20,Mineral,,60,172,1000000,Ordinary,60,50,70,80,80,150,490
102,Exeggcute,exeggcute,"Often mistaken for eggs. When disturbed, they quickly gather and attack in swarms.",1,0.4,2.5,Grass,Psychic,Chlorophyll,,Harvest,Pink,50,50,0,20,Grass,,90,65,1250000,Ordinary,60,40,80,60,45,40,325
103,Exeggutor,exeggutor,"Legend has it that on rare occasions, one of its heads will drop off and continue on as an EXEGGCUTE.",1,2,120,Grass,Psychic,Chlorophyll,,Harvest,Yellow,50,50,0,20,Grass,,45,186,1250000,Ordinary,95,95,85,125,75,55,530
104,Cubone,cubone,"Because it never removes its skull helmet, no one has ever seen this POKéMON's real face.",1,0.4,6.5,Ground,,Rock Head,Lightning Rod,Battle Armor,Brown,50,50,0,20,Monster,,190,64,1000000,Ordinary,50,50,95,40,50,35,320
105,Marowak,marowak,The bone it holds is its key weapon. It throws the bone skillfully like a boomerang to KO targets.,1,1,45,Ground,,Rock Head,Lightning Rod,Battle Armor,Brown,50,50,0,20,Monster,,75,149,1000000,Ordinary,60,80,110,50,80,45,425
106,Hitmonlee,hitmonlee,"When in a hurry, its legs lengthen progressively. It runs smoothly with extra long, loping strides.",1,1.5,49.8,Fighting,,Limber,Reckless,Unburden,Brown,100,0,0,25,Human-Like,,45,159,1000000,Ordinary,50,120,53,35,110,87,455
107,Hitmonchan,hitmonchan,"While apparently doing nothing, it fires punches in lightning fast volleys that are impossible to see.",1,1.4,50.2,Fighting,,Keen Eye,Iron Fist,Inner Focus,Brown,100,0,0,25,Human-Like,,45,159,1000000,Ordinary,50,105,79,35,110,76,455
108,Lickitung,lickitung,Its tongue can be extended like a chameleon's. It leaves a tingling sensation when it licks enemies.,1,1.2,65.5,Normal,,Own Tempo,Oblivious,Cloud Nine,Pink,50,50,0,20,Monster,,45,77,1000000,Ordinary,90,55,75,60,75,30,385
109,Koffing,koffing,"Because it stores several kinds of toxic gases in its body, it is prone to exploding without warning.",1,0.6,1,Poison,,Levitate,Neutralizing Gas,Stench,Purple,50,50,0,20,Amorphous,,190,68,1000000,Ordinary,40,65,95,60,45,35,340
